question,answer
WHAT IS THE LAST NAME OF THE MAN WHO CREATED THE COMIC STRIP “LI’L ABNER”?,CAPP
WHAT IS THE LAST NAME OF THE BASEBALL PLAYER WHO PITCHED A PERFECT GAME IN THE 1956 WORLD SERIES?,LARSEN
WHAT IS THE LAST NAME OF THE FIRST MAN TO RUN THE MILE IN UNDER FOUR MINUTES?,BANNISTER
WHAT IS THE LAST NAME OF THE AUTHOR WHO WROTE “BROTHERS KARAMAZOV”?,DOSTOYEVSKI
WHAT IS THE NAME OF THE AUTHOR WHO RECEIVED A PULITZER PRIZE FOR HIS WRITINGS ABOUT ABRAHAM LINCOLN?,SANDBURG
WHAT IS THE LAST NAME OF THE MAN WHO CREATED THE COMIC STRIP “WOODY WOODPECKER”?,LANTZ
WHAT IS THE NAME OF THE INSTRUMENT USED TO MEASURE WIND SPEED?,ANEMOMETER
WHAT IS THE LAST NAME OF THE AUTHOR OF “OUR TOWN”?,WILDER
WHAT IS THE LAST NAME OF THE SINGER WHO MADE A HIT RECORDING OF THE SONG “WHO’S SORRY NOW”?,FRANCIS
WHAT IS THE LAST NAME OF THE CUBAN LEADER THAT CASTRO OVERTHREW?,BATISTA
WHAT IS THE NAME OF THE RUBBER ROLLER ON A TYPEWRITER?,PLATEN
WHAT WAS THE NAME OF THE LARGEST CONFEDERATE MILITARY PRISON DURING THE CIVIL WAR?,ANDERSONVILLE
WHAT IS THE LAST NAME OF THE AUTHOR OF “THE AGONY AND THE ECSTASY”?,STONE
WHAT IS THE LAST NAME OF FLASH’S GIRLFRIEND IN THE COMIC STRIP “FLASH GORDON”?,ARDEN
WHAT IS THE NAME OF THE FIRST MOVIE TO RECEIVE THE ACADEMY AWARD FOR BEST PICTURE?,WINGS
WHAT IS THE LAST NAME OF THE DISCOVERER OF THE VACCINATION FOR SMALLPOX?,JENNER
WHAT IS THE LAST NAME OF THE BOY IN THE BOOK “TREASURE ISLAND”?,HAWKINS
WHAT IS THE LAST NAME OF THE BOXER WHO WON THE BOXING TITLE FROM JOHN L. SULLIVAN?,CORBETT
WHAT IS THE LAST NAME OF THE MAN WHO WROTE THE SONG “HOW DEEP IS THE OCEAN”?,BERLIN
WHAT WAS THE LAST NAME OF BILLY THE KID?,BONNEY
WHAT IS THE LAST NAME OF THE SINGER WHOSE THEME SONG WAS “WHEN THE BLUE OF THE NIGHT MEETS THE GOLD OF THE DAY”?,CROSBY
FROM WHAT MUSICAL IS THE SONG “BAUBLES BANGLES AND BEADS”?,KISMET
WHAT WAS THE LAST NAME OF THE ACTOR WHO PORTRAYED DR. WATSON IN THE SHERLOCK HOLMES SERIES?,BRUCE
WHAT IS THE LAST NAME OF THE MAN WHO WAS MOST RESPONSIBLE FOR PHOTOGRAPHING THE U.S. CIVIL WAR?,BRADY
WHAT IS THE NAME OF A NUMBER TWO WOOD IN GOLF?,BRASSIE
WHAT IS THE LAST NAME OF THE POET WHO WROTE THE LINE “INTO EACH LIFE A LITTLE RAIN MUST FALL”?,LONGFELLOW
WHAT WAS THE NAME OF GENE AUTRY’S HORSE?,CHAMPION
WHAT IS THE NAME OF THE TOWN THROUGH WHICH LADY GODIVA SUPPOSEDLY MADE HER FAMOUS RIDE?,COVENTRY
WHAT IS THE LAST NAME OF THE FIRST WOMAN TO SWIM ACROSS THE ENGLISH CHANNEL?,EDERLE
WHAT IS THE LAST NAME OF THE FIRST FLIER TO FLY SOLO AROUND THE WORLD?,POST
WHAT IS THE LAST NAME OF THE MAN WHO WROTE THE POEM “IT COULDN’T BE DONE”?,GUEST
WHO WAS THE RACEHORSE OF THE YEAR FOR MANY SUCCESSIVE YEARS IN THE 1960S?,KELSO
WHAT IS THE HIGHEST MOUNTAIN IN SOUTH AMERICA?,ACONCAGUA
What percentage of the population don't speak English or French at home?,1.50%
What percentage of the population don't speak English or French at home?,28%
What percentage of Liechtenstein's population is foreign-born?,67%
How much of the population is of white European descent?,88%
How many living species of Asian Elephants are there?,1
How many living species of African Elephants are there?,2
How many territories joined to form Romania?,2
How many territories joined to form Romania?,2
How many children did Grover Cleveland have?,5
How many municipalities are within Oberland?,6
How many municipalities are within Oberland?,6
How many regions is Ghana divided into?,10
How many regions is Ghana divided into?,10
How many municipalities is Liechtenstein divided into?,11
How many municipalities is Liechtenstein divided into?,11
How many species of otter are there?,13
How many species of otter are there?,13
What is the first number on the page?,28
What is the first number on the page?,28
How many counties is Romania divided into?,41
How many Eagle Scouts were involved in Ford's funeral procession?,400
European books and maps began referring to this region as Canada in what year?,1545
When did he publish a collection?,1733
When did Adams graduate from college?,1755
When did Adams graduate from college?,1755
When did James Monroe graduate from William and Mary?,1776
When did the Gettysburg address argue that America was born?,1776
When did the Gettysburg address argue that America was born?,1776
When was James Monroe appointed to Secretary of War?,1814
When did he become a professor?,1820
When did he publish another memoria?,1821
When did Lincoln begin his political career?,1832
When did Lincoln begin his political career?,1832
When was the first factory opened?,1836
When was the first factory opened?,1836
He founded the private university of buffalo on what date?,1846
When was the first photgraph of lincoln taken?,1846
When did he vote for democrat james buchanan?,1856
"The Savings and Loans Bank was founded, as was the first cotton-weaving mill in what year?",1861
Grant was elected president as a Republican in what year?,1868
"When was he elected sheriff of Erire County, New York?",1870
When did he marry louise désirée lorieux?,1890
What year did Coolidge open his own law office?,1898
What year did Coolidge open his own law office?,1898
When did Coolidge meet and marry Grace Anna Goodhue?,1905
When did he die?,1908
When did Canada have one of the largest armed forces in the world?,1944
"In what year were the ""Games of the XV Olympiad"" held?",1952
"In what year were the ""Games of the XV Olympiad"" held?",1952
When did Ghana achieve independence from the United Kingdom?,1957
When did Ghana achieve independence from the United Kingdom?,1957
When was Lee Kuan Yew prime minister of Singapore?,1959
When was the Six Day War?,1967
When was the Six Day War?,1967
When did the first official report of kangaroo blindness take place?,1994
When did the first official report of kangaroo blindness take place?,1994
In what year did East Timor secede from Indonesia?,1999
In what year did East Timor secede from Indonesia?,1999
"Sibiu, a large city in Transylvania, was chosen as European Capital of Culture in what year?",2007
When was Liechtenstein's current constitution adopted?,Oct-21
When did Qatar become an independent state?,3-Sep-71
What is the world population of Asian elephants?,60000
How many species of beetles are there?,"350,000"
What happened in 1896?, Becquerel accidentally discovered radioactivity.
When did the first verifiable written documents appear?, The first verifiable written documents appeared in the twelfth century. 
How much does a leopard weigh?,(because of ambiguity) - 28-90kg 
What do economy and law have in common?,(not sure how to answer this)
What is the last word on the page?,(SSN-22)
What has many possible meanings?,(What?)
Are turtles a part of the Flying Spaghetti Monster?,*shrug*
Is the leopard an Old World mammal?,.
How tall were the tallest prehistoric penguins?,1.80 meters
How heavy was the largest polar bear on record?,1002 kg (2200 lb) 
Who suggested Lincoln grow a beard?,11-year-old Grace Bedell
How much do elephants weight at birth?,120 kilograms
How many species and genera does otter have?,13 species and 7 genera
How many species and genera does otter have?,13 species in 7 genera.
How many square kilometres of continental land is Uruguay?,"176,214 square kilometres"
How many square kilometres of continental land is Uruguay?,176.215 km�� 
When did John Adams serve as Vice President?,1789-1797
When did John Adams serve as Vice President?,1789-1797
How many long was Lincoln's formal education?,18 months
How many long was Lincoln's formal education?,18 months.
In which years were John Monroe elected as President?,1817-1825
In which years were John Monroe elected as President?,1817-1825
Which election did Grover Cleveland win?,1884 and 1892 presidential elections
What years were Coolidge's two sons born in?,1906 and 1908
What years were Coolidge's two sons born in?,1906 and 1908
How many people use the bus network daily?,2.78 million people
How long is the elephant's gestation period?,22 months
How long is the elephant's gestation period?,22 months
What is largest polar bear on record?,2200 lb
How long was Lincoln's legal Career?,23 years
Where was Theodore Roosevelt born?,28 East 20th Street in the modern-day Gramercy section of New York City
What is also the distance that Antarctic tourists are told to keep from penguins?,3 meters
How much do sea otters weigh?,30 kg (about 65 pounds)
How much do sea otters weigh?,30 kg (about 65 pounds)
How heavy is a male polar bear?,300-600 kg (660-1320 lb)
What is the average life expectancy of a kangaroo?,4 to 6 years
What is the average life expectancy of a kangaroo?,4.6 years
Where is old Ghana in relation to present Ghana?,500 miles north
Where is old Ghana in relation to present Ghana?,"500 miles north of the present Ghana, and occupied the area between Rivers Senegal and Niger"
How long is polar bear's guard hair?,5-15 cm
How long is polar bear's guard hair?,5-15 cm
How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,6 days
How long is a leopard's tail?,60 to 110cm
When did organized agriculture appear in the Nile Valley?,6000 BC.
How long is a leopard's tail?,60-110cm
How long may elephants live?,70 years
What is the life expectancy for men in Finland?,75 years
What is the life expectancy for men in Finland?,75 years
What is the life expectancy for men?,75 years
What is the life expectancy for men?,75 years
What is the estimated population of Egypt?,78 million
What is the poulation of Egypt?,78 million people
What may a leopard be mistaken for?,A cheetah or a jaguar
What may a leopard be mistaken for?,A cheetah or a jaguar
What is Monroe Doctrine?,A doctrine declaring U.S. opposition to European interference in the Americas.
What is The Remarkable Millard Fillmore?,A fake biography based on real events that happened in Fillmore's life.
How many provinces and territories does Canada have?,A federation now comprising ten provinces and three territories
"If a turtle egg was kept warm, what would likely hatch?",A female turtle
"If a turtle egg was kept warm, what would likely hatch?",A female turtle.
Where was Theodore Roosevelt born?,"a four-story brownstone at 28 East 20th Street, in the modern-day Gramercy section of New York City"
What did Cleveland die from?,A heart attack
What did Cleveland die from?,a heart attack
What is Finland's economy like?,"a highly industrialised, free-market economy"
An otter 's den is what?,A holt
What is largest polar bear on record?,"A huge male, allegedly weighing 1002 kg (2200 lb) shot at Kotzebue Sound in northwestern Alaska in 1960."
What is a roo?,a kangaroo
How do otters keep themselves warm without blubber?,a layer of air trapped in their fur
How do sea otters insulate themselves?,a layer of air trapped in their fur(!)
How do otters keep themselves warm without blubber?,A layer of air trapped in their fur.  
Where was Grant born?,"A log cabin in Point Pleasant, Clermont County, Ohio"
What is a collective noun for a kangaroo?,"a mob, troop, or court"
Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,A pack can only suppport one littler per year
What does a polar bear's fur provide?,A polar bear's fur provides camouflage and insulation
What is actually black in color?,A polar bear's skin.
Where do joeys complete postnatal development?,A pouch called a marsupium
What is a hybrid animal resulting from a union between a leopard and a puma?,a pumapard
What is a hybrid animal resulting from a union between a leopard and a puma?,A pumapard
"These projections , called papillae , have what?",a rich blood supply
The Historical Society of the Principality of Liechtenstein plays what?,a role in preserving the culture and history of the country.
Who is Daffy Duck?,A silly cartoon character
Who is Daffy Duck?,a silly cartoon character
What do river otters eat?,"a variety of fish and shellfish, as well as small land mammals and birds"
What do river otters eat?,"a variety of fish and shellfish, as well as small land mammals and birds"
Who did Millard Fillmore fall in love with?,Abigail Powers
How many species of beetles are there?,"about 350,000"
What is the average life expectancy of a kangaroo?,about 4.6 years
How many Eagle Scouts were involved in Ford's funeral procession?,About 400
When did organized agriculture appear in the Nile Valley?,About 6000 BC
What is the largest religious group in Canada?,"According to 2001 census, 77.1% of Canadians identified as being Christians; of this, Catholics make up the largest group (43.6% of Canadians). The largest Protestant denomination is the United Church of Canada; about 16.5% of Canadians declare no religious affiliation, and the remaining 6.3% were affiliated with religions other than Christianity, of which the largest is Islam numbering 1.9%, followed by Judaism: 1.1%. "
What happened in 1764?,Adams married Abigail Smith
"The John Adams Library , housed at the Boston Public Library , contains what?","Adams's personal collection of more than 3,500 volumes"
How much is the average income of an African woman compared to a European man?,African women earns 0.65 * 0.718  = 46.67% of a European man earns in average
What do all turtles and tortoises breathe?,air
What do all turtles and tortoises breathe?,air
Which Russian army general conquered Finland in 1809?,Alexander I
Which Russian army general conquered Finland in 1809?,Alexander I
What religions has Egypt outlawed?,"All but Christianity, Islam, and Judaism"
What sort of turtles are ectothermic?,all of them
What religions has Egypt outlawed?,"all religions and belief except Islam, Christianity and Judaism"
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,Amedeo Avogadro
Who is most noted for his contributions to the theory of molarity and molecular weight?,Amedeo Avogadro
What type of creatures breathe air and don't lay eggs underwater?,Amniotes
What type of creatures breathe air and don't lay eggs underwater?,amnoites
Who determined the dependence of the boiling of water with atmospheric pressure?,Anders Celsius
Who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?,Anders Celsius
Who helped to fund Roosevelt's African safari?,Andrew Carnegie
Where was the largest elephant ever recorded shot?,Angola
How did the supporters of Henry Clay feel about Fillmore in 1848?,angry
Question,Answer
Who or what vary greatly in form within the coleoptera?,Antennae.
Why did Indonesia break off relations with the People's Republic of China?,anti-communist purges early in the Suharto era
How much of the population is of white European descent?,Approximately 88% of its population are of prevalently white European descent.
What body of water lies to the south of Finland?,Archipelago Sea
What did Aristotle say about elephants?,"Aristotle once said the elephant was ""the beast which pasS08_seth all others in wit and mind."""
What was the result of the rejection of the Jay Treaty?,"As a result, the two nations moved closer toward the War of 1812. "
How long may elephants live?,"As long as 70 years, sometimes longer."
How does the distribution size of the leopard compare to the distribution of other wild cats?,"As of 1996, the leopard had the largest distribution of any wild cat, although populations before and since have shown a declining trend and are fragmented outside of subsaharan Africa."
How tall were the tallest prehistoric penguins?,as tall as an adult human
How do sea otters insulate themselves?,"As with other species of otter, they rely on a layer of air trapped in their fur, which they keep topped up by blowing into the fur from their mouths."
How much do elephants weight at birth?,At birth it is common for an elephant calf to weigh 120 kilograms (265 lb).
What happened in a region not quite 2000 km south of the equator 35 mya?,At least one giant penguin.
Where was James Monroe shot?,"at the Battle of Trenton, in his left shoulder"
Where did a suicide-bombing kill a teacher in 2005?,At the Doha Players Theatre.
What company administers Leichtenstein's railways?,Austrian Federal Railways
What company administers Leichtenstein's railways?,Austrian Federal Railways
What happened in 1833?,Avogadro had been recalled to Turin university
What is responsible for converting the hydrogen byproduct of fermentation into acetate?,bacteria
What is the Arabic word for municipalities?,baladiyah
What is the Arabic word for municipalities?,baladiyah.
What was the nickname of Theodore Roosevelt's sister Anna?,Bamie
What was the nickname of Theodore Roosevelt's sister Anna?,Bamie as a child and Bye as an adult
Why does the phrase 'elephants never forget' have no metaphorical meaning?,Because it refers literally to elephants supposedly having an excellent memory.
Why did Indonesia break off relations with the People's Republic of China?,because of anti-communist purges early in the Suharto era
Why do kangaroos have a wide bite?,Because of grazing
Why did Cleveland want to hide his cancer surgery from the public?,because of the financial depression of the country
Why are side-necked turtles called side-necked turtles?,Because of the way they withdraw their heads into their shells.
"Why did Grant say ""Damn, I had nothing to do with this batte.""?",Because the generals under him acted on their own.
How are Isabelline penguins different from most penguins?,Because they are born with brown rather than black plumage.
What are the similarities between beetles and grasshoppers?,Beetles have mouthparts similar to those of grasshoppers
What are prey of various animals including birds and mammals?,Beetles.
Did Fillmore form a law partnership before or after he founded the private University of Buffalo?,Before.
What is an economic use of a duck?,being farmed for their meat
What are some economic uses for duck?,"being farmed for their meat, eggs, feathers, (particularly their down)"
How many species of penguins are there?,between 17 and 20 living species
How much do wolves weigh?,between 32 and 68 kilograms 
Where do wolves have scent glands?,between a wolf's toes
What is polar bear's skin color?,Black
What are dark leopards known as colloquially?,Black Panthers
What are dark leopards known as colloquially?,black panthers
Who graduated in ecclesiastical law at the early age of 20 and began to practice?,blah
What happened in 1833?,blah blah blah
Who did Ford nominate for Vice President?,Bob Dole
What used Singapore as a strategic trading post along the spice route?,British
Who did Sir Thomas Stamford Raffles work for?,British East India Company
What established a trading post on the island in 1819?,British East India Company 
"Who boasted a sizeable community of 100,000 by 1869?",British India office
What was the Consitution Act formerly called?,British North America Act
What is the largest city in Romania?,Bucharest
What is the largest city in Romania?,Bucharest
What kinds of coats do wolves have?,bulky coats with two layers
How do reservoirs and water relate?,"By 2001, there were 19 raw water reservoirs, 9 treatment works and 14 storage or service reservoirs locally to serve domestic needs. "
How do elephants communicate over long distances?,by producing and receiving low frequency sound
How do elephants communicate over long distances?,By producing and receiving low-frequency sound (infrasound)
When did Islam become the dominant religion in Java and Sumatra?,by the end of the 16th century
How did early naturalists distinguish between leopards and panthers?,"By the length of the tail, panthers having longer tails than leopards"
How did early naturalists distinguish between leopards and panthers?,by the length of their tails
Who founded Montevideo?,"By the Spanish, in the early 18th century"
How can beetle larvae be differentiated from other insect larvae?,"By their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body"
How has Canada helped UN peacekeeping efforts?,"Canada has played a leading role in UN peacekeeping efforts. During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989"
What is the largest country in the world?,"Canada is the second largest country in the world, after Russia, and largest on the continent."
How do cuba and declining participation relate?,Canada maintains full relations with both.
What happened in 1867?,"Canada was formed as a federal, semi-autonomous polity"
To what genus does the gray wolf belong?,Canis
To what genus does the gray wolf belong?,Canis
What are poor neighborhoods called informally?,Cantegriles
What are poor neighborhoods called informally?,Cantegriles.
What positions Ford played in the school football team?,Captain
Who asked a nearby local what the creatures were called?,Captain James Cook and naturalist Sir Joseph Banks
What universities are in Education City?,"Carnegie Mellon University, Georgetown University School of Foreign Service, Texas A&M University, Virginia Commonwealth University, and Cornell University"
What universities are in Education City?,"Carnegie Mellon University, Georgetown University School of Foreign Service, Texas A&M University, Virginia Commonwealth University, and Cornell University's Weill Medical College."
What positions Ford played in the school football team?,Center and linebacker
What kinds of changes have larger kangaroos adapted much better to?,Changes wrought to the Australian landscape by humans.
What is one significant non-official language?,Chinese
What is one significant non-official language?,Chinese.
What is the dominant religion in Ghana?,Christian
What is the dominant religion in Ghana?,christian
What is the largest religious group in Canada?,Christian
What is the most extensively celebrated holiday?,Christmas
What is the most extensively celebrated holiday?,Christmas is the most extensively celebrated holiday.
What shape are a leopard's black roS08_settes in East Africa?,circular
What shape are a leopard's black roS08_settes in East Africa?,circular
Who were Grover Cleveland's parents?,"Cleveland was born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal."
Who is the most popular rock group in Finland?,CMX
Who is the most popular rock group in Finland?,CMX
What is the study of beetles called?,coleopterology
What is the study of beetles called?,coleopterology
Which type of beetle is a pest of potato plants?,Colorado potato beetle
Which type of beetle is a pest of potato plants?,Colorado potato beetle
What did Jefferson call John Adams?,Colossus of Independence
Where was Commodore Matthew C. Perry sent to open Japan to Western trade?,Commodore Matthew C. Perry send to Japan
What is the last word on the page?,Connecticut
"Why do penguins ""tobaggan""?",Conserves energy while moving quickly
Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge
Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge
What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, MassachuS08_setts"
What did Coolidge do after graduating from Amherst?,"Coolidge moved to Northampton, MassachuS08_setts to take up the practice of law"
Why did Coolidge not attend law school?,cost
What kind of ducks feed on land?,Dabbling ducks
What kind of ducks feed on land?,Dabbling ducks feed on land
What type of tools do biologists use to capture wolves for tagging?,Darting and foot hold traps
What type of tools do biologists use to capture wolves for tagging?,Darting and Foot hold traps.
What includes a lengthy justification of why this species is listed as vulnerable?,Database entry.
When did James Monroe introduce the Monroe Doctrine?,"December 2, 1823"
When was Woodrow Wilson born?,"December 28, 1856"
When was Woodrow Wilson born?,"December 28, 1856"
Adams ' opponents were what?,Democratic Republicans
What information did he record in his diary?,Descriptions of events and ompressions of men
Different species of kangaroos eat what?,different diets
Do ducks forage underwater?,Diving ducks and sea ducks forage underwater
Where is Qatar's telecommunication system centered?,Doha
Where did a suicide-bombing kill a teacher in 2005?,Doha Players Theatre
Where is Qatar's telecommunication system centered?,Doha.
"Forward, erect ears and slightly bristle hackles are a sign of what in wolves?",Dominance
"Forward, erect ears and slightly bristle hackles are a sign of what in wolves?",Dominance
Why are relations with Malaysia and Indonesia important?,"Due to obvious geographical reasons, relations with Malaysia and Indonesia are most important."
When are sperm cells transferred to the female?,during pairing
When are sperm cells transferred to the female?,During pairing
When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom
When were the Great Sphinx and the Pyramids of Giza built?,During the Old Kingdom.
How has Canada helped UN peacekeeping efforts?,"During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989"
Which nation invaded Singapore during World War II?,"During World War II, the Imperial Japanese Army invaded Malaya, culminating in the Battle of Singapore."
Who has its own political legislature and governor ?,each province
What part of an elephant is very important for temperature regulation?,Ears
What are deposited in holes dug into mud or sand?,eggs
What land animal has the largest brain?,elephant
How many countries in Europe are bigger than Romania?  ,eleven
How many countries in Europe are bigger than Romania?  ,Eleven
Who did James Monroe marry?,Elizabeth Kortright
Who did James Monroe marry?,Elizabeth Kortright
What is the largest living species of penguin?,Emperor
What is the largest living species of penguin?,Emperor Penguin
What is the largest living species of penguin?,Emperor Penguin
Who heavily influenced the architecture and culture of Montevideo?,European immigrants
Who heavily influenced the architecture and culture of Montevideo?,European immigrants.
How often do turtles breed?,Every few years or more
Which countries established colonies in Canada?,Fance and Britain
What was Adams' political party?,Federalist
"What was one of the many species described in Linnaeus's 18th-century work, Systema Naturae?",Felis pardus
"What happened in a log cabin in summerhill , new york?",Fillmore was born
Who helped to fund Roosevelt's African safari?,Financed by Andrew Carnegie and his own proposed writings
What is a country with which Finland is involved in an international conflict?,Finland is not involved in international conflicts or border disputes. 
What is the primary item in an otter's diet?,fish
What is the primary item in an otter's diet?,Fish.
Why was the capital of Uruguay founded?,For a military stronghold.
Why are penguins countershaded?,for camouflage
Why are penguins countershaded?,for camouflage
"What did Ford receive on April 13, 1942?",Ford received a commission as ensign in the US Naval Reserve.
For how long was Ford a member of the House of Representatives?,Ford served for over eight years as the Republican Minority Leader of the United States House of Representatives
Who did Cleveland run against in 1884?,former Senator James G. Blaine of Maine
How many counties is Romania divided into?,forty-one
Who was Kwame Nkrumah?,founder and first president
Who was Kwame Nkrumah?,founder and first president of the modern Ghanaian state
Which countries established colonies in Canada?,France and Britain.
Who was Grant's brother in law?,Fred Dent
Who was Grant's brother in law?,Fred Dent
Garbage is what?,"Garbage is now recycled or transported to Thompson, Manitoba."
Who was the general in charge at the Battle of Antietam?,General McClellan
Who was John Monroe standing behind in the painting of  Washington Crossing the Delaware?,George Washington
Who was John Monroe standing behind in the painting of  Washington Crossing the Delaware?,George Washington
What is the official language of Liechtenstein?,German
What caused Wilson to ask Congress to declare war on the Central Powers?,German began unrestricted submarine warfare
What is the official language of Liechtenstein?,German.
Does otter give birth or lay egg?,give birth
Name an animal that is growing in number due to recent conservation efforts,Golden Eagle
Name an animal that is growing in number due to recent conservation efforts,"Golden Eagle, Brown Bear, or Eurasian Lynx (Change imperative to interrogative)"
What field did Woodrow Wilson leave law practice to study?,Government
In 1905 Coolidge met and married whom?,Grace Anna Goodhue
In 1905 Coolidge met and married whom?,Grace Anna Goodhue
Who suggested Lincoln grow a beard?,Grace Bedell.
Where was Theodore Roosevelt from?,Gramercy section of New York City
Who achieved international fame as the leading Union general in the American Civil War?,Grant
"Who did President Lincoln promote of major general in the regular army, effective July 4?",Grant
Who took a hard line that reduced violence by groups like the Ku Klux Klan?,Grant
What is the biggest city in Finland?,Greater Helsinki
Who lost control of his party to the agrarians and silverites in 1896?,Grover Cleveland
Who was President when Wilson finished Congressional Government?,Grover Cleveland
Who was President when Wilson finished Congressional Government?,Grover Cleveland
How much time to penguins spend on land?,half of their life
In what ways was Adams opposed by Anderw Hamilton?,Hamilton wanted to control the army differently than Adams
hard,hard
Which county was Lincoln born in?,Hardin County
What happened in 1865?,he accepted the surrender of Robert E. Lee
Why did Grant think that war was unjust?,He accepted the theory that it was designed to gain land open to slavery.
How heavy was the largest polar bear on record?,He allegedly weighed 1002 kg
What trail did Lincoln use a Farmers' Almanac in? ,"he defended William ""Duff"" Armstrong"
Who did Millard Fillmore fall in love with?,He fell in love with Abigail Powers
What did James Monroe do before being elected governor?,He practiced law
What did James Monroe do before being elected governor?,He practiced law in Virginia.
What did Roosevelt do to improve his physical condition?,He started boxing
Did Roosevelt support racial integration in schools?,He supported a bill allowing school desegregation in New York State.
Why did Grant think that war was unjust?,He thought it was designed to gain land open to slavery.
What did Ford say about his biological father?,He was abusive and had a history of hitting his mother.
Where is Wilson buried?,He was buried in Washington National Cathedral
What happened from 1730 to 1744?,He was professor of astronomy at Uppsala University
Did Roosevelt study biology?,He was strong in biology.
What information did he record in his diary?,He wrote descriptions of events and impressions of men
What caused Calvin Jr.'s death?,heart attack
What caused Calvin Jr.'s death?,Heart attack
Where do wolves have scent glands?,Helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts.
What is the capital city?,Helsinki
Who won the 1903 Nobel Prize in Physics for discovering radioactivity ?,Henri Becquerel
What was Scots-Irish and Scottish?,His ancestry
What did Ford say about his biological father?,his biological father was abusive and had a history of hitting his mother
What was more damaging than moving students into colleges?,His confrontation with Andrew Fleming West
Who did James Monroe live with in New York City?,His daughter Maria Hester Monroe Gouverneur
"What defended slavery, owned slaves and S08_set up a Sunday school for them?",His father
What was from Pennsylvania?,His father
What happened in recent years?,his reputation as president has improved
What field did Woodrow Wilson leave law practice to study?,history and political science
Where do sea turtles lay their eggs?,holes dug into mud or sand
Where do sea turtles lay their eggs?,Holes Dug into the Mud or Sand
What is an otter's den called?,Holt
What is an otter's den called?,holt
What method is used by Kangaroos to travel?,hopping
What method of locomotion do Kangaroos Use?,hopping
Why do wolves howl?,"Howling helps pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances. Howling also helps to call pack members to a specific location. Howling can also serve as a declaration of territory, as shown in a dominant wolf&apos;s tendency to respond to a human imitation of a ""rival"" wolf in an area the wolf considers its own. "
What drives sea otter almost to extinction?,Humans hunted them almost to extinction. 
What is the largest ethnic minority in Romania?,Hungarians
What is the largest ethnic minority in Romania?,Hungarians
Did Fillmore run for President a second time?,I don't know (semantic ambiguity)
He became chief engineer in the Department of Bridges and Highways in what year?,in 1894
When did Coolidge meet and marry Grace Anna Goodhue?,In 1905
When did Goh Chok Tong succeed Lee as Prime Minister?,"In 1990, Goh Chok Tong succeeded Lee as Prime Minister."
What is The Remarkable Millard Fillmore?,"In 2007, George Pendle wrote The Remarkable Millard Fillmore, a fake biography based on real events that happened in Fillmore's life"
Where was Millard Fillmore born?,"in a log cabin in Summerhill, New York"
Where was Millard Fillmore born?,"in a log cabin in Summerhill, New York"
Where do leopards often hide their kills?,in dense vegetation
Where do leopards often hide their kills?,in dense vegetation or in trees
What is Monroe Doctrine?,"In it, Monroe proclaimed the Americas should be free from future European colonization and free from European interference in sovereign countries' affairs. It further stated the United States' intention to stay neutral in European wars and wars between European powers and their colonies, but to consider any new colonies or interference with independent countries in the Americas as hostile acts toward the United States. "
"Where did the expression ""a sitting duck"" come from?","In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys."
"Where did the expression ""a sitting duck"" come from?","In many areas, wild ducks of various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys."
What is Canada's national unemployment rate?,"In October 2007, Canada's national unemployment rate is 5.9%."
Where was Grover Cleveland married?,in the Blue Room in the White House
Are penguins astonishingly agile?,In the water they are.
Where was Grover Cleveland married?,In the White House
"What shares land borders with Papua New Guinea, East Timor and Malaysia?",Indonesia
What is Jakarta?,Indonesia's special capital region
What did Tourism in Romania attract in 2005?,investments worth 400 million euros
Who did Wilson win in 1917?,Irish Americans
"Why do penguins ""tobaggan""?",It conserves energy while moving quickly
"A semi-aquatic marine mammal , the polar bear has what?","It has adapted for life on a combination of land, sea, and ice."
Are studies insufficient evidence for global protection?,It is arguable.
"Is it not even known whether the gigantic palaeeudyptines constitute a monophyletic lineage , or whether gigantism was evolved independently in a much restricted Palaeeudyptinae and the Anthropornithinae ?",It is not even known.
What does the word duck mean?,It is the common name for a number of species in the Anatidae family of birds.
What does a polar bear's fur provide?,It provides the animal with effective camouflage.
